RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE -1 -1 30647
MOVE -2 -1 30648
MOVE -1 -2 30649
MOVE -1 -1 30650
MOVE -1 -1 30651
MOVE -2 -2 30652
MOVE -1 -1 30653
MOVE -1 -1 30654
MOVE -1 -1 30655
MOVE -1 -2 30656
MOVE -2 -1 30657
MOVE -1 -1 30658
MOVE -1 -2 30659
MOVE -1 -1 30660
MOVE -1 -1 30661
MOVE -2 -1 30662
MOVE -1 -2 30663
MOVE -1 -1 30664
MOVE -1 -1 30665
MOVE -1 -1 30666
MOVE -1 -2 30667
MOVE -2 -1 30668
MOVE -1 -1 30669
MOVE -1 -1 30670
MOVE -1 -2 30671
MOVE -1 -1 30672
MOVE -1 -1 30673
MOVE -1 -1 30674
MOVE -2 -1 30675
MOVE -1 -2 30676
MOVE -1 -1 30677
MOVE -1 -1 30678
MOVE -1 -1 30679
MOVE -1 -2 30680
MOVE -1 -1 30681
MOVE -1 -1 30682
MOVE -1 -2 30683
MOVE -1 -1 30684
MOVE -1 -1 30685
MOVE -1 -2 30686
MOVE -1 -1 30687
MOVE -1 -1 30688
MOVE -1 -2 30689
MOVE -1 -1 30690
MOVE -1 -1 30691
MOVE -1 -2 30692
MOVE -1 -1 30693
MOVE -1 -1 30694
MOVE -1 -2 30695
MOVE -1 -1 30696
MOVE -1 -1 30697
MOVE -1 -2 30698
MOVE -1 -1 30699
MOVE -1 -1 30700
MOVE -1 -2 30701
MOVE -1 -1 30702
MOVE -1 -2 30703
MOVE -1 -1 30704
MOVE -1 -1 30705
MOVE -1 -1 30706
MOVE -1 -2 30707
MOVE -1 -1 30708
MOVE -1 -2 30709
MOVE -1 -1 30710
MOVE -1 -1 30711
MOVE -1 -2 30712
MOVE -1 -2 30713
MOVE -1 -1 30714
MOVE -1 -1 30715
MOVE -1 -2 30716
MOVE -1 -1 30717
MOVE -1 -1 30718
MOVE -1 -2 30719
MOVE -1 -1 30720
MOVE -1 -2 30721
MOVE -1 -1 30722
MOVE -1 -2 30723
MOVE -1 -1 30724
MOVE -1 -1 30725
MOVE -1 -2 30726
MOVE -1 -1 30727
MOVE -1 -2 30728
MOVE -1 -1 30729
MOVE -1 -2 30730
MOVE -1 -1 30731
MOVE -1 -2 30733
MOVE -1 -1 30734
MOVE -1 -2 30735
MOVE -1 -1 30736
MOVE -1 -2 30737
MOVE -1 -1 30738
MOVE -1 -1 30739
MOVE -1 -2 30740
MOVE -1 -1 30741
MOVE -1 -2 30742
MOVE -1 -1 30744
MOVE -1 -2 30745
MOVE -1 -1 30746
MOVE -1 -2 30747
MOVE -1 -1 30748
MOVE -1 -1 30749
MOVE -1 -2 30750
MOVE -1 -1 30751
MOVE -1 -2 30752
MOVE -1 -1 30753
MOVE -1 -2 30755
MOVE -1 -1 30756
MOVE -1 -2 30757
MOVE -1 -1 30758
MOVE -1 -1 30759
MOVE -1 -2 30760
MOVE -1 -1 30761
MOVE -1 -2 30762
MOVE -1 -1 30763
MOVE -1 -1 30764
MOVE -1 -2 30765
MOVE -1 -1 30767
MOVE -2 -2 30768
MOVE -2 -2 30770
MOVE -1 -1 30772
MOVE -1 -2 30773
MOVE -1 -1 30774
MOVE -1 -1 30775
MOVE -1 -2 30776
MOVE -1 -1 30777
MOVE -1 -1 30778
MOVE -1 -2 30779
MOVE -1 -1 30780
MOVE -1 -1 30781
MOVE -1 -2 30782
MOVE -1 -1 30783
MOVE -1 -1 30784
MOVE -1 -1 30785
MOVE -1 -2 30786
MOVE -1 -1 30787
MOVE -1 -1 30788
MOVE -1 -1 30789
MOVE -1 -1 30790
MOVE -1 -2 30791
MOVE -1 -1 30792
MOVE -1 -1 30793
MOVE -1 -1 30794
MOVE -1 -2 30795
MOVE -1 -1 30796
MOVE -1 -1 30797
MOVE -1 -1 30798
MOVE -1 -1 30799
MOVE -1 -1 30800
MOVE -2 -1 30801
MOVE -1 -2 30803
MOVE -1 -1 30804
MOVE -1 -1 30805
MOVE -1 -1 30806
MOVE -1 -1 30807
MOVE -1 -1 30808
MOVE -1 -1 30809
MOVE -1 -1 30810
MOVE -1 -1 30811
MOVE -1 -1 30812
MOVE -1 -1 30813
MOVE -1 -1 30814
MOVE -1 -1 30815
MOVE -1 -1 30818
MOVE -1 -1 30819
MOVE -1 -1 30820
MOVE -1 -1 30821
MOVE -1 -1 30822
MOVE -1 -1 30825
MOVE -1 -1 30826
MOVE -1 -1 30829
MOVE -1 -1 30830
MOVE -1 -1 30834
MOVE -1 -1 30836
MOVE -1 -1 30839
MOVE -1 -1 30841
MOVE -1 -1 30843
MOVE -1 -1 30845
MOVE -1 -1 30847
MOVE -1 -1 30849
MOVE -1 -1 30851
MOVE -1 -1 30856
MOVE -1 -1 30858
